form_map_alpha                          |透明控制条
form_map_area                           |第一层_世界范围

form_map_scene_xibei                    |第二层_西北区域
form_map_scene_xinan                    |第二层_西南区域
form_map_scene_jiangnan                 |第二层_江南区域
form_map_scene_huabei                   |第二层_华北区域
form_map_scene_zhongyuan                |第二层_中原区域

form_map_scene                          |第三层_第四层_控件

form_map_erengu                         |恶人谷
form_map_saiwaidamo                     |塞外大漠
form_map_saibeicaoyuan                  |塞外草原
form_map_qiandengzhen                   |千灯镇
form_map_chengdu                        |成都
form_map_tangmen                        |唐门
form_map_emei                           |峨嵋
form_map_xiangyangpo                    |向阳坡
form_map_nianluoba                      |念萝坝
form_map_lingxiaocheng                  |凌霄城
form_map_yanyuzhuang                    |烟雨庄
form_map_area_east_city02_label  ..     |苏州
form_map_jinyiwei                       |锦衣卫
form_map_junzitang                      |君子堂
form_map_jilegu                         |极乐谷
form_map_meihualing                     |梅花岭
form_map_mohezhen                       |漠河镇
form_map_yanjing                        |燕京
form_map_gaibang                        |丐帮
form_map_penglai                        |蓬莱
form_map_youyunshiliuzhou               |幽云十六州
form_map_fanhuangpingyuan               |泛黄平原
form_map_luoyang                        |洛阳
form_map_shaolin                        |少林
form_map_shaolin_label  ...             |武当
form_map_jinling                        |金陵
